client,url,is_original,station_url,dataselect_url,event_url
AUSPASS,https://auspass.edu.au,True,,,
BGR,https://eida.bgr.de,True,,,
BGS,https://eida.bgs.ac.uk,True,,,
EARTHSCOPE,https://service.earthscope.org,True,,,
EIDA,http://eida-federator.ethz.ch,True,,,
EMSC,https://www.seismicportal.eu,True,,,
EPOSFR,https://seisdata.epos-france.fr,True,,,
ETH,https://eida.ethz.ch,True,,,
GEOFON,https://geofon.gfz.de,True,,,
GEONET,https://service.geonet.org.nz,True,,,
GFZ,https://geofon.gfz.de,True,,,
ICGC,https://ws.icgc.cat,True,,,
IESDMC,http://batsws.earth.sinica.edu.tw,True,,,
IGN,http://fdsnws.sismologia.ign.es,True,,,
INGV,https://webservices.ingv.it,True,,,
IPGP,https://ws.ipgp.fr,True,,,
IRIS,https://service.earthscope.org,True,,,
IRISDMC,https://service.earthscope.org,True,,,
IRISPH5,https://service.earthscope.org,True,,,
ISC,https://www.isc.ac.uk,True,,,
KAGSR,http://sdis.emsd.ru,True,,,
KNMI,https://rdsa.knmi.nl,True,,,
KOERI,https://eida.koeri.boun.edu.tr,True,,,
LMU,https://erde.geophysik.uni-muenchen.de,True,,,
LOCALHOST,http://localhost,False,,,
NCEDC,https://service.ncedc.org,True,,,
NIEP,https://eida-sc3.infp.ro,True,,,
NOA,https://eida.gein.noa.gr,True,,,
NRCAN,https://earthquakescanada.nrcan.gc.ca,True,,,
ODC,https://www.orfeus-eu.org,True,,,
ORFEUS,https://www.orfeus-eu.org,True,,,
RASPISHAKE,https://data.raspberryshake.org,True,,,
RESIF,https://ws.resif.fr,True,,,
SCEDC,https://service.scedc.caltech.edu,True,,,
TEXNET,http://rtserve.beg.utexas.edu,True,,,
UIB-NORSAR,https://eida.geo.uib.no,True,,,
USGS,https://earthquake.usgs.gov,True,,,
USP,https://sismo.iag.usp.br,True,,,
